Priority Rank,Priority,SKU,Name,Need Type,Unit Type,Category,Subcategory,List Qty,Available Qty,Reserved Qty,Incoming Qty,Threshold Min,Sales Window Days,Units Sold,Avg Daily Sales,Days of Cover,Target Days of Cover,Recommended Reorder Qty,Urgency Score,Unavailable
55,Low,SRENE - 1g AIO Cart - Chem NV,SRENE - 1g AIO Cart - Chem NV,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,150.0,150.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
56,Low,SRENE - 1g - Pre-roll - Purple Slush,SRENE - 1g - Pre-roll - Purple Slush,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,1678.0,1678.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
57,Low,SRENE - 1g Cart - Blueberry Moon,SRENE - 1g Cart - Blueberry Moon,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,9.0,9.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
58,Low,SRENE - 3.5 grams - Jar - Royale Grape,SRENE - 3.5 grams - Jar - Royale Grape,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,2961.0,2961.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
59,Low,SRENE - 1g AIO Cart - Royale Haze,SRENE - 1g AIO Cart - Royale Haze,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,325.0,325.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
60,Low,Vybz - 1g - Pre-roll - BioFuel,Vybz - 1g - Pre-roll - BioFuel,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,2201.0,2201.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
61,Low,SRENE - 1/2 Ounce - O.B.X.,SRENE - 1/2 Ounce - O.B.X.,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,2954.0,2954.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
62,Low,SRENE - 1g - Pre-roll - GovernMint Oasis,SRENE - 1g - Pre-roll - GovernMint Oasis,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,366.0,366.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
63,Low,SRENE - 1g - Pre-roll - Tropicana Acai,SRENE - 1g - Pre-roll - Tropicana Acai,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,398.0,398.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
64,Low,SRENE - 1g - Pre-roll - BioFuel,SRENE - 1g - Pre-roll - BioFuel,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,3462.0,3462.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
65,Low,SRENE - 3.5 grams - Jar - Lemon Rope,SRENE - 3.5 grams - Jar - Lemon Rope,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,2908.5,2908.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
66,Low,Vybz - 1g - Pre-roll - GovernMint Oasis,Vybz - 1g - Pre-roll - GovernMint Oasis,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,10.0,10.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
67,Low,Trim - Sin City Funk,Trim - Sin City Funk,Bulk,g,Shake/Trim,Bulk Shake/Trim,5159.86,5159.86,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
68,Low,Bud - Sin City Funk,Bud - Sin City Funk,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,4512.98,4512.98,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
69,Low,VYBZ - 3.5 grams - BioFuel,VYBZ - 3.5 grams - BioFuel,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Mylar,2222.5,2222.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
70,Low,Preroll Material - BioFuel,Preroll Material - BioFuel,Bulk,g,Shake/Trim,Preroll Material,356.0,356.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
71,Low,SRENE - 1g - Pre-roll - O.B.X.,SRENE - 1g - Pre-roll - O.B.X.,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,167.0,167.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
72,Low,Trim - Rose Sorbet,Trim - Rose Sorbet,Bulk,g,Shake/Trim,Bulk Shake/Trim,7027.39,7027.39,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
73,Low,Trim - O.B.X.,Trim - O.B.X.,Bulk,g,Shake/Trim,Bulk Shake/Trim,382.0,382.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
74,Low,SRENE - 1g - Pre-roll - Zero Gravity,SRENE - 1g - Pre-roll - Zero Gravity,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,1503.0,1503.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
75,Low,SRENE - 1/2 Ounce - Lemon Rope,SRENE - 1/2 Ounce - Lemon Rope,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,5810.0,5810.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
76,Low,SRENE - 1/2 Ounce - Royale Grape,SRENE - 1/2 Ounce - Royale Grape,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,5670.0,5670.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
77,Low,VYBZ - 3.5 grams - O.B.X.,VYBZ - 3.5 grams - O.B.X.,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Mylar,1837.5,1837.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
78,Low,SRENE - 1/2 Ounce - BioFuel,SRENE - 1/2 Ounce - BioFuel,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,5110.0,5110.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
79,Low,Preroll Material - Royale Grape,Preroll Material - Royale Grape,Bulk,g,Shake/Trim,Preroll Material,5079.18,5079.18,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
80,Low,SRENE - 1g Cart - White Out,SRENE - 1g Cart - White Out,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,480.0,480.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
81,Low,SRENE - Zero Gravity - Pre Roll - .7g - 5 Pack,SRENE - Zero Gravity - Pre Roll - .7g - 5 Pack,Preroll,ea,Pre-rolled cigs/joints,5pk Pre-Roll,719.0,719.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
82,Low,SRENE - 1/2 Ounce - DayStripper,SRENE - 1/2 Ounce - DayStripper,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,5250.0,5250.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
83,Low,SRENE - 1/2 Ounce - Sin City Funk,SRENE - 1/2 Ounce - Sin City Funk,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,2226.0,2226.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
84,Low,Preroll Material - Sin City Funk,Preroll Material - Sin City Funk,Bulk,g,Shake/Trim,Preroll Material,683.2,683.2,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
85,Low,SRENE - 1g - Pre-roll - Sin City Funk,SRENE - 1g - Pre-roll - Sin City Funk,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,3241.0,3241.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
86,Low,SRENE - 3.5 grams - Jar - DayStripper,SRENE - 3.5 grams - Jar - DayStripper,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,2485.0,2485.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
87,Low,SRENE - 1g Cart - Honey Dew,SRENE - 1g Cart - Honey Dew,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,457.0,457.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
88,Low,Bud - Limesicle,Bud - Limesicle,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,6770.03,6770.03,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
89,Low,Bud - Stripper Glitter,Bud - Stripper Glitter,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,6443.91,6443.91,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
90,Low,Smalls - Rose Sorbet,Smalls - Rose Sorbet,Bulk,g,Small/Popcorn Buds,Bulk Smalls,782.83,782.83,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
91,Low,Vybz - 1g - Pre-roll - Tropicana Acai,Vybz - 1g - Pre-roll - Tropicana Acai,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,2807.0,2807.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
92,Low,SRENE - Space Junky - Pre Roll - .7g - 5 Pack,SRENE - Space Junky - Pre Roll - .7g - 5 Pack,Preroll,ea,Pre-rolled cigs/joints,5pk Pre-Roll,938.0,938.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
93,Low,SRENE - Sin City Funk - Pre Roll - .7g - 5 Pack,SRENE - Sin City Funk - Pre Roll - .7g - 5 Pack,Preroll,ea,Pre-rolled cigs/joints,5pk Pre-Roll,30.0,30.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
