Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
SRENE - 1g - Pre-roll - Strange Haze #8,SRN-PRJ-STH,1061,5130.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,5.00,4.0,17334914845519714402,
SRENE - Zero Gravity - Pre Roll - .7g - 5 Pack,SRE- PRJ - ZER - .7 - 5pk,475,4850.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - Purple Slush,SRE-3.5-JAR-PUR,300,4800.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),Brandon Green,,16.00,,17334914845519714402,
SRENE - 1/2 Ounce - Limesicle,SRE-14.-MYL-LIS,160,4775.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
LEVEL Protab - Sativa - 10pk - 10mg,LEV-PRO-10P-SAT-10mg,600,4640.00,Unit,Capsule/Tablet,LEVEL - 10pk,Wholesale,SSAC (P),Brandon Green,,16.00,16.0,08542800532746610043,
SRENE - 1g - Pre-roll - O.B.X.,SRN-PRJ-OBX,1375,4550.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,4.00,4.0,17334914845519714402,
SRENE - Royale Grape - Pre Roll - .7g - 5 Pack,SRE- PRJ - ROY - .7 - 5pk,450,4500.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
SRENE - 1/2 Ounce - GovernMint Oasis (Smalls),SRE-14S-MYL-GOO,178,4450.00,Half Ounce,Small/Popcorn Buds-Packaged For Sale,14g Smalls Mylar,Wholesale,SSAC (C),James Ferrari,,25.00,,17334914845519714402,
SRENE - 1g Cart - Jet Fuel Acai,SRE-1g-CRT-JFA,400,4050.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
SRENE - Space Junky - Pre Roll - .7g - 5 Pack,SRE- PRJ - SPA - .7 - 5pk,400,4000.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
